recipe_id,name,category,ingredients,steps,images
6859263,"매콤 된장찌개, 채소와 두부만 넣은 초간단 초스피드 된장찌개",한식,느타리버섯 1줌; 양파 1/2개; 애호박 1/4개; 청양고추 2개; 두부 1/4모; 물 1.5종이컵; 된장 2T; 진간장 1T; 고추가루 1.5T; 다진마늘 0.5T; 설탕 0.5티스푼; 소금 간맞추기; 뚝배기; 나무도마; 요리나이프,"1. 물1.5종이컵에 된장,고추가루,다진마늘,설탕,간장을 한데넣고 한소끔 끓여줍니다. ; 2. 그사이 양파,버섯,애호박,청양고추,두부는 적당한 크기로 썰어줍니다. ; 3. 한소끔 끓은 된장물에 양파,버섯,애호박,청양고추,두부를 넣어 줍니다. ; 4. 애호박이 익을때까지 끓여주어 간을보아 부족한간은 소금으로 해주어 완성. 저는 부족한간이 없어 소금은 넣지 않았습니다.",6859263_step_1.jpg; 6859263_step_2.jpg; 6859263_step_3.jpg; 6859263_step_4.jpg
6873683,"엄마의 레시피, 소고기 미역국 끓이는 법",한식,소고기 국거리용 180g; 미역 20g 1줌; 쌀뜨물 혹은 물 / 종이컵 7컵 1.4L; 다진마늘 1큰술; 참기름 1큰술; 국간장 2큰술; 소금 약간; 스테인레스볼; 채반; 스테인레스냄비; 계량컵; 대접,"1. 키친타올을 이용해 소고기 핏물을 닦아주세요.덩어리 고기를 사용할 경우 수직 방향(고기의 결과 반대로)으로 썰어주세요.결대로 썰어주면 고기가 질겨져요. ; 2. 미역은 물 500ml(약 2.5컵)에 10분간 불려주세요.미역 20g은 이 정도.대충 가늠할 수 있겠지요?저울이 없는 분들은 사진 참고해서 양 조절해주세요. ; 3. 미역은 물 500ml(약 2.5컵)에 10분간 불려주세요.혹, 양 조절에 실패했다면 불린 미역은 냉동실에 보관해뒀다가 드세요. ; 4. 불린 미역은 가위를 이용해 먹기 좋은 크기로 잘라주세요. ; 5. 미역은 체를 이용해 건져주세요. 이때 미역 불린 물은 버리지 않고 미역국 끓일 때 물 대신 사용해주세요.엄마의 레시피..미역 불린 물 혹은 쌀뜨물을 넣어 미역국을 끓이는 거예요. 쌀드물이 없다면 일반 생수 사용해 주세요.국물의 깊이가 달라진다고 해야 할까요?조미료 하나 넣지 않고도 깊고 진한 맛의 미역국을 끓일 수 있어요. ; 6. 중불로 달군 냄비에 참기름 1큰술을 두른 뒤 다진마늘 1큰술과 소고기를 넣고 볶아주세요. ; 7. 소고기 겉면이 절반 정도 익을 때쯤 국간장 1큰술을 넣어 볶아주세요. ; 8. 미역을 넣고 푸른색을 띨 때까지 달달 볶아주세요. ; 9. 쌀뜨물 혹은 미역 불린 물 400mL(약 2컵)를 붓고 강불로 올려주세요. ; 10. 국물이 끓기 시작하면 물 1L(약 5컵)를 넣어주세요. 다시 끓어오르면 중약불로 줄인 뒤 15분간 끓여주세요. ; 11. 국간장 1큰술을 넣고 부족한 간은 소금으로 더해주세요. 엄마 손맛 가득한 미역국 완성입니다.",6873683_step_1.jpg; 6873683_step_2.jpg; 6873683_step_3.jpg; 6873683_step_4.jpg; 6873683_step_5.jpg; 6873683_step_6.jpg; 6873683_step_7.jpg; 6873683_step_8.jpg; 6873683_step_9.jpg; 6873683_step_10.jpg; 6873683_step_11.jpg
6891816,"마지막 한 젓가락까지 바삭하고 고소한 간장 멸치볶음(아이밑반찬,간단반찬)멸치볶음",한식,잔멸치 300cc 1국그릇; 오일 3스푼; 간장 1스푼; 맛술 1스푼; 올리고당 3스푼; 설탕 1티스푼; 참기름 1스푼; 깨소금 1스푼; 후라이팬; 계량스푼,"1. 잔멸치 국그릇1이예요대량으로 구매를 해서 몇 그람 정도인지 몰라서 비커에 넣어 봤어요ㅋ 300cc네요 ; 2. 멸치 비린내를 없애기 위해서 볶음팬에 아무것도 없이 멸치만 넣고 중간불에 볶아주세요 ; 3. 멸치가 약간 노릇노릇하게 되었을때 오일을 3T넣고 볶아주세요 저는 카놀라유를 사용했어요 약간의 기포가 생길때 불을 끄고 ; 4. 맛술1T,간장1T를 넣고 골고루 섞어주세요 ; 5. 올리고당 3T와 설탕 티스푼1T 넣고 약불에서 아주 잠깐만(3초~5초) 골고루 볶아주세요(달게 드시지 않으시면 설탕은 생략하셔도 됩니다) ; 6. 다시 불을 끄고 참기름1 ; 7. 깨소금1T ; 8. 골고루 섞어주면 완성입니다",6891816_step_1.jpg; 6891816_step_2.jpg; 6891816_step_3.jpg; 6891816_step_4.jpg; 6891816_step_5.jpg; 6891816_step_6.jpg; 6891816_step_7.jpg; 6891816_step_8.jpg
6889424,효리네민박 이상순 계란볶음밥! 초간단 한끼!!,한식,밥 2공기; 달걀 2개; 대파 1/2대; 굴소스 2T; 식용유 적당량; 후추 조금,"1. 재료의 양은 취향껏 준비해주세요. ; 2. 먼저 대파는 잘게 썰어 주세요.대파1/2대칼,도마 ; 3. 볼에 밥을 담고 날달걀을 풀어서밥과 달걀을 잘 섞어주세요.밥2공기, 달걀2개볼,수저 ; 4. 달군 후라이팬에 식용유를 적당량 붓고대파를 넣은 뒤 파기름을 내주세요.손질한 대파, 식용유후라이팬,주걱센불 ; 5. 파향이 솔솔 올라오면계란 섞은 밥을 넣어서같이 볶아주세요.계란 섞은 밥주걱센불 ; 6. 후추를 뿌리고굴소스로 간을 맞춰준 후휘리릭 볶아준 뒤가스불을 꺼주세요.후추, 굴소스중불 ; 7. 그릇에 담아내면효리네민박 달걀볶음밥완성이에요.",6889424_step_1.jpg; 6889424_step_2.jpg; 6889424_step_3.jpg; 6889424_step_4.jpg; 6889424_step_5.jpg; 6889424_step_6.jpg; 6889424_step_7.jpg
3686217,대박 맛집 김치찌개,한식,김치 1/2포기; 포도씨유 1큰술; 깍두기국물 1/3컵; 대파; 두부; 물(멸치육수); 참치 1캔; 설탕; 고춧가루; 다진 마늘 1큰술; 멸치육수; 냄비; 도마; 조리용나이프; 요리스푼; 밀폐용기,1. 일단 지금알려드리는 방법은 식사전에 준비하시기 보다 시간적인 여유가 있으실때 미리 김치볶음을 만들어 두셨다가 사용하셔야 해요. ; 2. 냄비에 큼직하게 썰은 김치(대략 배추 1/2 포기)를 넣고 포도씨유 1큰술을 넣고 볶아주세요. 이때 김치 국물 혹은 저같은 경우는 깍두기 국물을 1/3컵 정도 넣어 주었어요. 김치국물이 들어가면 따로 간을 하지 않아도 되거든요. 또한 이때 설탕을 조금 넣어주시면 김치가 더욱 빨리 무르게 익어요. 또한 고춧가루를 넣어주면 색도 이뻐지고 윤도나지요. ; 3. 볶는 중간에 다진마늘 1큰술도 넣어주세요. ; 4. 김치가 타려는듯 하면 중불에서 물 혹은 멸치육수를 1컵 정도 부어준후 가끔씩 저어가며 뚜껑을 덮고 푹~~ 익혀줍니다. ; 5. 김치가 익으면 수분이 나오기도 하니 처음부터 너무 물이나 육수를 많이 붓지는 마셔요. 김치를 30분 정도 푹 익혀주면 밑준비 끝!!~ ; 6. 볶아둔 김치는 식힌후에 통에담아 냉장고에서 최소 반나절이상 숙성시켜 주세요. 국물이 자박하게 있으면 나중에 김치찌개 끓이실때 따로 간을 하지 않아도 되요. ; 7. 물 혹은 멸치육수를 냄비의 3/4 지점까지 부어준뒤 끓여주세요. 이떄 볶은김치의 양이 넉넉히 들어가야 더욱 맛있는건 아시죠? 물이나 육수가 부글부글 끓으면 김치찌개 완성!김치찌개에는 돼지고기나 참치를 넣으면 더욱 맛이 좋지요?돼지고기를 넣으실때는 물 넣으실떄 같이 넣어 주신후돼지고기가 익으면 완성!~이번에는 돼지고기가 없어서담백한 네모모양의 델큐브 참치를 사용했어요. ; 8. 두부와 대파도 조금 준비해 주셨다가 김치찌개가 보글보글 끓으면 두부와 대파를 살짝 얹으시고 불을 끄신후 식탁으로~,3686217_step_1.jpg; 3686217_step_2.jpg; 3686217_step_3.jpg; 3686217_step_4.jpg; 3686217_step_5.jpg; 3686217_step_6.jpg
6863296,15분이면 불고기가 딱!?초간단 불고기★,한식,소불고기 400g; 식용유 약간; 물 1/4컵; 후추 약간; 송송 썬 쪽파 1대; 간장 3T; 물 2T; 설탕 2T; 청주 2T; 다진 파 1T; 다진 마늘 1T; 다진 생강 1/4T; 참기름 약간,"1. 불고기는 먹기 좋은 크기로 썬다.소불고기 400g ; 2. 양념장을 만든다.[양념] 간장 3T, 물 2T, 설탕 2T, 청주 2T, 다진 파 1T, 다진 마늘 1T, 다진 생강 1/4T, 참기름 약간 ; 3. 불고기에 양념장을 넣고 잘 섞는다. ; 4. 팬에 약간의 기름을 두르고 불고기를 익힌다.식용유 약간팬 ; 5. 고기가 타지 않게 중간마다 물을 넣는다.물 1/4cup ; 6. 후추를 약간 뿌린다.후추 약간 ; 7. 구운 고기 위에 쪽파를 뿌린다.송송 썬 쪽파 1대",6863296_step_1.jpg; 6863296_step_2.jpg; 6863296_step_3.jpg; 6863296_step_4.jpg; 6863296_step_5.jpg; 6863296_step_6.jpg; 6863296_step_7.jpg
