recipe_id,name,category,ingredients,steps,images
6859263,"매콤 된장찌개, 채소와 두부만 넣은 초간단 초스피드 된장찌개",한식,느타리버섯 1줌; 양파 1/2개; 애호박 1/4개; 청양고추 2개; 두부 1/4모; 물 1.5종이컵; 된장 2T; 진간장 1T; 고추가루 1.5T; 다진마늘 0.5T; 설탕 0.5티스푼; 소금 간맞추기; 뚝배기; 나무도마; 요리나이프,"1. 물1.5종이컵에 된장,고추가루,다진마늘,설탕,간장을 한데넣고 한소끔 끓여줍니다. ; 2. 그사이 양파,버섯,애호박,청양고추,두부는 적당한 크기로 썰어줍니다. ; 3. 한소끔 끓은 된장물에 양파,버섯,애호박,청양고추,두부를 넣어 줍니다. ; 4. 애호박이 익을때까지 끓여주어 간을보아 부족한간은 소금으로 해주어 완성. 저는 부족한간이 없어 소금은 넣지 않았습니다.",https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png
6873683,"엄마의 레시피, 소고기 미역국 끓이는 법",한식,소고기 국거리용 180g; 미역 20g 1줌; 쌀뜨물 혹은 물 / 종이컵 7컵 1.4L; 다진마늘 1큰술; 참기름 1큰술; 국간장 2큰술; 소금 약간; 스테인레스볼; 채반; 스테인레스냄비; 계량컵; 대접,"1. 키친타올을 이용해 소고기 핏물을 닦아주세요.덩어리 고기를 사용할 경우 수직 방향(고기의 결과 반대로)으로 썰어주세요.결대로 썰어주면 고기가 질겨져요. ; 2. 미역은 물 500ml(약 2.5컵)에 10분간 불려주세요.미역 20g은 이 정도.대충 가늠할 수 있겠지요?저울이 없는 분들은 사진 참고해서 양 조절해주세요. ; 3. 미역은 물 500ml(약 2.5컵)에 10분간 불려주세요.혹, 양 조절에 실패했다면 불린 미역은 냉동실에 보관해뒀다가 드세요. ; 4. 불린 미역은 가위를 이용해 먹기 좋은 크기로 잘라주세요. ; 5. 미역은 체를 이용해 건져주세요. 이때 미역 불린 물은 버리지 않고 미역국 끓일 때 물 대신 사용해주세요.엄마의 레시피..미역 불린 물 혹은 쌀뜨물을 넣어 미역국을 끓이는 거예요. 쌀드물이 없다면 일반 생수 사용해 주세요.국물의 깊이가 달라진다고 해야 할까요?조미료 하나 넣지 않고도 깊고 진한 맛의 미역국을 끓일 수 있어요. ; 6. 중불로 달군 냄비에 참기름 1큰술을 두른 뒤 다진마늘 1큰술과 소고기를 넣고 볶아주세요. ; 7. 소고기 겉면이 절반 정도 익을 때쯤 국간장 1큰술을 넣어 볶아주세요. ; 8. 미역을 넣고 푸른색을 띨 때까지 달달 볶아주세요. ; 9. 쌀뜨물 혹은 미역 불린 물 400mL(약 2컵)를 붓고 강불로 올려주세요. ; 10. 국물이 끓기 시작하면 물 1L(약 5컵)를 넣어주세요. 다시 끓어오르면 중약불로 줄인 뒤 15분간 끓여주세요. ; 11. 국간장 1큰술을 넣고 부족한 간은 소금으로 더해주세요. 엄마 손맛 가득한 미역국 완성입니다.",https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png
6891816,"마지막 한 젓가락까지 바삭하고 고소한 간장 멸치볶음(아이밑반찬,간단반찬)멸치볶음",한식,잔멸치 300cc 1국그릇; 오일 3스푼; 간장 1스푼; 맛술 1스푼; 올리고당 3스푼; 설탕 1티스푼; 참기름 1스푼; 깨소금 1스푼; 후라이팬; 계량스푼,"1. 잔멸치 국그릇1이예요대량으로 구매를 해서 몇 그람 정도인지 몰라서 비커에 넣어 봤어요ㅋ 300cc네요 ; 2. 멸치 비린내를 없애기 위해서 볶음팬에 아무것도 없이 멸치만 넣고 중간불에 볶아주세요 ; 3. 멸치가 약간 노릇노릇하게 되었을때 오일을 3T넣고 볶아주세요 저는 카놀라유를 사용했어요 약간의 기포가 생길때 불을 끄고 ; 4. 맛술1T,간장1T를 넣고 골고루 섞어주세요 ; 5. 올리고당 3T와 설탕 티스푼1T 넣고 약불에서 아주 잠깐만(3초~5초) 골고루 볶아주세요(달게 드시지 않으시면 설탕은 생략하셔도 됩니다) ; 6. 다시 불을 끄고 참기름1 ; 7. 깨소금1T ; 8. 골고루 섞어주면 완성입니다",https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png; https://recipe1.ezmember.co.kr/img/mobile/tab_view1.png
