recipe_id,name ,category,ingredients,steps,images
1,계란볶음밥,한식,밥 2공기; 달걀 2개; 대파 1/2대; 굴소스 2T; 식용유 적당량; 후추 조금,1. 대파를 잘게 썰어준다. ; 2.볼에 밥을 담고 날달걀을 풀어서 밥과 달걀을 잘 섞어준다. ; 3.달군 후라이팬에 식용유를 적당량 붓고 대파를 넣은 뒤 파기름을 내준다. ; 4.파향이 올라오면 계란 섞은 밥을 넣어서 같이 볶아준다. ; 5.후추를 뿌리고 굴소스로 간을 맞춰준 후 볶아준 뒤 가스불을 끈다. ; 6.그릇에 담아낸다.,step11.jpg;step12.jpg;step13.jpg;step14.jpg;step15.jpg;step16.jpg
2,김치찌개,한식,김치 1/2포기; 포도씨유 1큰술; 깍두기국물 1/3컵; 대파; 두부; 물(멸치육수); 참치 1캔; 설탕; 고춧가루; 다진 마늘 1큰술; 멸치육수,"1.냄비에 큼직하게 썰은 김치를 넣고 포도씨유 1큰술을 넣고 볶는다. 이때 깍두기 국물, 설탕, 고춧가루도 넣어준다. ; 2.볶는 중간에 다진마늘 1큰술 넣어준다. ; 3.김치가 볶였을 때 중불에서 멸치육수를 1컵 정도 부어준 후 가끔씩 저어가며 뚜껑을 덮고 익혀준다. ; 4.김치를 30분 정도 푹 익혀준다. ; 5.볶아둔 김치를 식힌 후 통에 담아 냉장고에 반나절이상 숙성시킨다. ; 6.멸치육수를 냄비의 3/4지점까지 부어준 뒤 끓여주고 참치를 넣어준다. ; 7.두부와 대파도 김치찌개가 끓으면 넣어주면된다.",step21.jpg;step23.jpg;step25.jpg;step26.jpg;step27.jpg;step28.jpg
3,불고기,한식,소불고기 400g; 식용유 약간; 물 1/4컵; 후추 약간; 간장 3T; 물 2T; 설탕 2T; 청주 2T; 다진 파 1T; 다진 마늘 1T; 다진 생강 1/4T; 참기름 약간; 쪽파,"1.불고기를 먹기 좋은 크기로 썬다.; 2.양념장을 만든다(간장 3T, 물 2T, 설탕 2T, 청주 2T, 다진 파 1T, 다진 마늘 1T, 다진 생강 1/4T, 참기름 약간); 3,불고기에 양념장을 넣고 잘 섞는다.; 4.팬에 약간의 기름을 두르고 불고기를 익힌다.;5.고기가 타지않게 중간마다 물을 넣는다.; 6.후추를 약간 뿌린다.; 7.구운 고기 위에 쪽파를 뿌린다.",step31.jpg;step32.jpg;step33.jpg;step34.jpg;step35.jpg;step36.jpg;step37.jpg
